ATTEMPT, Time, Performance
1,19.70196,23.50452
1,29.70186,23.14981
1,39.704,22.69518
1,49.70417,22.57897
1,59.71355,22.89182
1,69.71667,22.7888
1,79.71922,23.17182
1,89.71964,23.17182
1,99.7215,23.04411
1,109.722,22.48351
1,119.7292,22.6534
1,129.725,23.8127
1,139.7337,23.67298
1,149.7355,23.59827
1,159.7368,23.47349
1,169.7384,23.87486
1,179.7402,25.4405
1,189.7412,25.4405
1,199.7419,25.4405
1,209.7433,25.42905
1,219.7435,25.56115
1,229.7446,26.52374
1,239.7523,27.16238
1,249.7563,27.16238
1,259.7611,27.16238
1,269.7641,26.81978
1,279.7731,26.3079
1,289.7752,27.49404
1,299.7774,27.49404
1,309.7804,27.43328
1,319.783,27.08741
1,329.7952,26.85851
1,339.7971,27.3098
1,349.7974,27.90799
1,359.7994,27.81475
1,369.7997,27.81475
1,379.8041,27.05301
1,389.804,27.60341
1,399.812,28.74389
1,409.8164,28.65153
1,419.8194,28.65153
1,429.8218,27.92632
1,439.8226,27.11089
1,449.8229,26.85566
1,459.8237,26.88249
1,469.8254,26.88249
1,479.8322,26.63481
1,489.8371,25.51531
1,499.8393,25.86627
1,509.8433,26.19243
1,519.8563,26.35118
1,529.857,26.0703
1,539.8586,25.69098
1,549.8601,26.80241
1,559.8602,26.8787
1,569.8605,27.52157
1,579.8638,27.52157
1,589.8645,26.91318
1,599.8768,28.11656
ATTEMPT, Time, Performance
2,19.70418,23.24576
2,29.70651,22.71869
2,39.71782,22.30297
2,49.72046,22.19896
2,59.72305,21.96345
2,69.72456,23.60625
2,79.73396,24.07988
2,89.73601,24.07988
2,99.74065,23.38174
2,109.7401,22.54101
2,119.7409,23.76346
2,129.743,27.23347
2,139.7436,27.13243
2,149.7449,27.13243
2,159.7549,26.55412
2,169.7556,25.99156
2,179.7657,26.78639
2,189.7614,26.67574
2,199.7628,26.67574
2,209.764,25.56273
2,219.7641,25.93313
2,229.7713,26.58831
2,239.7734,26.80203
2,249.776,26.80203
2,259.7851,26.80203
2,269.7923,25.6023
2,279.7926,26.94508
2,289.794,27.96051
2,299.7966,27.9942
2,309.7983,27.77981
2,319.7993,26.89482
2,329.8003,26.53274
2,339.8028,26.92969
2,349.803,26.90684
2,359.8033,26.71925
2,369.806,26.10507
2,379.8158,26.50433
2,389.819,26.33378
2,399.822,26.58944
2,409.8243,26.58944
2,419.838,26.31958
2,429.8348,25.94957
2,439.838,26.96888
2,449.84,28.41843
2,459.8413,28.41843
2,469.8422,28.33578
2,479.8431,27.11165
2,489.8459,25.63862
2,499.8518,27.00955
2,509.8557,27.00955
2,519.8542,26.89063
2,529.8583,26.54549
2,539.8613,25.90418
2,549.8627,25.72909
2,559.866,25.72909
2,569.8663,25.41172
2,579.8723,25.41539
2,589.8746,26.08438
2,599.8769,25.25227
3,19.99988,25.14682
3,30.01495,24.83556
3,40.01959,24.47101
3,50.03595,24.23024
3,60.03668,22.23115
3,70.03644,22.32246
3,80.04443,22.43583
3,90.05273,22.19415
3,100.0532,22.19415
3,110.0592,20.91993
3,120.0555,211.8295
3,130.0589,212.8934
3,140.069,212.4388
3,150.069,212.4388
3,160.0698,212.4388
3,170.0697,212.1907
3,180.075,212.5485
3,190.0766,212.1373
3,200.0777,211.9429
3,210.0789,211.9429
3,220.0889,211.4489
3,230.0893,211.5187
3,240.0953,212.7158
3,250.0919,212.7158
3,260.0973,212.5575
3,270.0974,212.5123
3,280.0993,213.6948
3,290.1002,214.3557
3,300.1111,214.3445
3,310.11,214.1965
3,320.1123,214.1965
3,330.1133,214.0758
3,340.1147,213.6828
3,350.1161,214.17
3,360.119,214.17
3,370.1256,214.17
3,380.1269,215.4637
3,390.1308,216.4687
3,400.1321,216.4744
3,410.1332,216.1602
3,420.1345,216.1598
3,430.1357,215.5632
3,440.1497,216.1441
3,450.1523,217.2863
3,460.1537,217.3211
3,470.1545,217.3211
3,480.1569,217.1012
3,490.1581,216.0791
3,500.16,215.8884
3,510.1697,216.03
3,520.1671,216.2106
3,530.1689,216.2106
3,540.1702,215.7009
3,550.1718,217.6319
3,560.1752,217.6506
3,570.1782,217.5735
3,580.1848,217.5735
3,590.188,216.62
ATTEMPT, Time, Performance
4,19.70651,23.80419
4,29.71764,23.52271
4,39.71965,23.21777
4,49.72168,23.10366
4,59.72405,21.87085
4,69.7365,22.82525
4,79.73831,22.9771
4,89.74191,50.65097
4,99.74261,22.73857
4,109.7456,22.08027
4,119.7596,22.40756
4,129.7595,24.37017
4,139.773,24.33223
4,149.7767,24.33223
4,159.7799,24.33223
4,169.7826,27.07059
4,179.7828,28.01521
4,189.7849,27.97028
4,199.7911,27.97028
4,209.7961,27.9852
4,219.7937,28.98943
4,229.7952,29.71892
4,239.7984,29.71892
4,249.8012,29.55574
4,259.8028,29.55574
4,269.8056,28.56108
4,279.8116,27.29285
4,289.8136,27.29334
4,299.8144,27.29334
4,309.8176,27.09361
4,319.8182,26.29685
4,329.8203,27.88226
4,339.8219,28.71099
4,349.8241,28.71099
4,359.8307,43.69633
4,369.8398,43.69633
4,379.8373,43.2458
4,389.839,44.40673
4,399.8413,44.40673
4,409.8431,44.09016
4,419.8449,44.19175
4,429.8574,42.89886
4,439.8559,42.74219
4,449.8641,42.94979
4,459.8624,42.88156
4,469.8637,42.82962
4,479.8638,42.62922
4,489.871,42.54609
4,499.8705,43.03169
4,509.871,43.03169
